ItemNumber,ItemDescription,PONumber,DueDate,DUE_DATE,POLineKey
02-4390-10,KEY ROUND 02-4390-10,POBK-080113-01,2014-08-01 00:00:00,1200,163455658
02-4390-10,KEY ROUND 02-4390-10,POBK-080113-01,2014-08-01 00:00:00,300,148592356
02-4390-17,KEY ROUND 02-4390-17,POBK-031914-05,2015-05-15 00:00:00,120,175510693
02-4390-18,KEY ROUND 02-4390-18,POBK-040214-04,2015-06-12 00:00:00,200,177796308
02-4390-21,KEY ROUND 02-4390-21,POBK-011314-03,2016-03-10 00:00:00,700,169051151
02-4390-23,ROUND KEY  02-4390-23,POBK-081913-03,2014-08-19 00:00:00,500,151307069
05-419152,KEY 05-419152,POBK-120612-01,2015-08-21 00:00:00,250,126537196
05-419153,KEY 05-419153,PO-030813-33,2015-08-18 00:00:00,360,133998639
05-419160,KEY 05-419160,POBK-120612-02,2015-08-21 00:00:00,111,126537223
05-419164,KEY 05-419164,POBK-121613-04,2014-12-16 00:00:00,100,166106903
05-501856,CONNECTOR;SLEEVE 05-501856/L,POBK-101513-07,2014-10-15 00:00:00,1139,159892193
05-543032,TAPE WHITE ADH 05-543032/C,POBK-120513-03,2014-12-15 00:00:00,85536,165504882
05-543053,TAPE KAPTON 05-543053 [05-543204],POBK-061814-04,2014-12-31 00:00:00,16200,186923733
05-543053,TAPE KAPTON 05-543053 [05-543204],POBK-080513-02,2014-08-05 00:00:00,216,149024403
05-544001,TAPE [REF 05-543205]05-544001/D,POBK-052014-03N,2014-12-31 00:00:00,2160,186423868
05-544002,TAPE (REF 05-543205) 05-544002/D,POBK-120513-04,2014-12-15 00:00:00,26784,165505570
05-555102,INSULATOR BAND DE 05-555102,POBK-021314-02,2015-04-15 00:00:00,748,172999668
05-555939,INSULATION 05-555939,POBK-041614-04,2015-04-16 00:00:00,2000,179343670
05-626014,WEDGE 05-626014,POBK-031914-06,2015-05-15 00:00:00,5000,175510694
05-626944,WEDGE 05-626944,POBK-052614-05-626944,2015-05-26 00:00:00,1000,183758708
05-626947,WEDGE OUTER 05-626947,POBK-121913-01,2014-12-19 00:00:00,15000,166557787
05-634258,CORD 05-634258/V (750 FT/RL),POBK-021014-01N,2015-04-10 00:00:00,13500,186423866
05-651278,VARNISH (DORYL) 05-651278,PO-121713-30,2014-12-17 00:00:00,20,166254360
05-651353,TOLUENE (05-651353)/H,PO-100313-30,2014-10-03 00:00:00,105.66,158248817
05-651838,SEALER 05-651838/P,PO-121713-31,2014-12-17 00:00:00,69.39,166254393
16-2723-1,BEZEL,POBK-032014-01,2014-09-23 00:00:00,1500,175815132
16-2725-1,HOUSING,POBK-032014-02,2014-09-23 00:00:00,1500,175815133
16-2726-1,COVER,POBK-032014-03,2014-09-23 00:00:00,1400,175815134
16-2728-1,CONTACT POWER,POBK-060314-03,2015-06-03 00:00:00,4000,184903157
16-2728-1,CONTACT POWER,POBK-060314-03,2015-06-03 00:00:00,4000,184903158
16-2729-1,CONTACT RETURN,POBK-060314-03,2015-06-03 00:00:00,4000,184903157
16-2729-1,CONTACT RETURN,POBK-060314-03,2015-06-03 00:00:00,4000,184903158
170-2343,CASE,POBK-061314-170-2343,2014-12-31 00:00:00,2000,186591835
183-226,*CIRCUIT BOARD (81-7204-5 U.T),POBK-012814-183-226,2015-03-03 00:00:00,3000,170811633
183-228,*CARRIER 81-7221-1,POBK-061314-183-228,2014-12-31 00:00:00,2000,188245299
2-7000-10,SCREW,PO-083013-35,2014-10-29 00:00:00,30000,153041428
2-7000-10,SCREW,PO-083013-35,2014-10-29 00:00:00,-1000,153041418
2-7000-14,SCREW,PO-030314-30,2015-05-26 00:00:00,92000,175031101
2-7000-9,SCREW,PO-083013-35,2014-10-29 00:00:00,50000,153041428
2-7000-9,SCREW,PO-083013-35,2014-10-29 00:00:00,19000,153041418
200-632,TERMINAL JST,POBK-012814-200-632,2015-04-07 00:00:00,162000,170811638
200-824-0,TERMINAL SD-7879 050-29-1900,POBK-012814-200-824-0,2015-09-02 00:00:00,60000,170811639
200002,RETENTION PLUNGER/A,PO-O32113-JN01,2014-12-31 00:00:00,99123510,134873853
200007,COMPRESSION SPRING STAINLESS STEEL/C,PO-111511-103,2014-12-31 00:00:00,461301,94010205
200031,WIRE YELLOW,POBK-021014-200031,2015-06-25 00:00:00,228300,172564131
201002,BEZEL NYLON 33%GF BLACK,PO-120213-65DF,2014-12-30 00:00:00,9995644,165122103
201003,JOYSTICK ACETAL,PO-010214-DF02,2014-12-30 00:00:00,99999,167749931
201004,ACTUATOR ACETAL,PO-011714-DF01,2014-12-30 00:00:00,991999,169637408
201005,ACTUATOR GUIDE NYLON,PO-010214-03DF,2014-12-30 00:00:00,996579,167749936
201008,HOUSING NYLON 33%GF,PO-010914-PL5,2014-12-30 00:00:00,999999,168608958
201020,COVER WIRE NYLON,PO-010914-PL4,2014-12-30 00:00:00,96000,168608956
201030,BUTTON; NO GRAPHICS,PO-101013-65DF,2014-12-30 00:00:00,984999,159295523
201032,CIRCUIT BOARD W/RESISTOR,POBK-012914-201032,2015-06-02 00:00:00,50000,170957810
201051,WIRE TWP 22 AWG BLACK SAE J-1128 BK,PO-062614-201051,2015-06-25 00:00:00,1200624,187917506
201053,BEZEL 33% GF,PO-010914-PL3,2014-12-30 00:00:00,100000,168608950
201058,BEZEL 33% GF,PO-010914-65DF,2014-12-30 00:00:00,9995999,168607742
201103,ACTUATOR,PO-010214-DF05,2014-12-30 00:00:00,7277737,167749978
201104,HEADER/C INSERT MOLDED,POBK-061914-201104,2014-12-31 00:00:00,32000,187087958
201107,ELASTOMERIC PAD / D,PO-121813-66IF,2015-03-11 00:00:00,1584000,166706256
201119,PC BOARD ASM,POBK-021814-201119,2015-06-03 00:00:00,432050,173579118
201124,TERMINAL 7114-4020,POBK-012814-201124,2015-07-07 00:00:00,520000,170811681
201192,BUTTON (NO GRAFIC),PO-1011113-PL02DF,2014-12-30 00:00:00,922510,159442943
201212,MOLEX CONNECTOR 31072-1070,PO-040214-201212,2014-08-18 00:00:00,21600,177796120
201214,WIRE 24 AWG WHITE 42 STR ISO 6722,POBK-121113-6701IF,2014-12-31 00:00:00,9429999,165660527
201215,WIRE 24 AWG BLUE 42 STR ISO 6722,POBK-091913-672DF,2014-12-31 00:00:00,510000,156107016
201216,WIRE 24 AWG RED 42 STR ISO 6722,POBK-120213-6702IF,2014-12-31 00:00:00,11710000,165122975
201217,WIRE 24 AWG BLACK 42 STR ISO 6722,POBK-091913-67DF,2014-12-31 00:00:00,470000,156107032
201218,WIRE 24 AWG YELLOW 42 STR ISO 6722,POBK-121113-6702IF,2014-12-31 00:00:00,560000,165660547
201220,BERG TERMINAL 47649-000LF,POBK-032114-201220,2015-03-20 00:00:00,1600000,175968179
202002,B HOUSING CONN OR SQS2R-02H-2C-D,PO-111113-68IF,2014-12-30 00:00:00,827999,171104852
202003,BASE HOUSING CONN BK SQS2R-02H-2A-K,PO-022114-202003,2015-02-20 00:00:00,1600000,174012763
202004,LID HOUSING CONN YL SQS2L-02H-1A-Y,POBK-120213-680S,2014-12-30 00:00:00,680000,171104879
202005,CPA HOUSING CONN RD SQS2C-02H-1A-R,POBK-120213-680,2014-12-30 00:00:00,503999,171104878
202006,FERRITE CONNECTOR SQS2F-02-1T,POBK-040213-6806MS,2014-12-31 00:00:00,54000,136073981
202356,FEMALE TERMINALSSQS2-A03GI-P-P,POBK-040213-680,2014-12-30 00:00:00,3064000,171104853
202376,WIRE TWP 20 AWG LG/YL MS7889,PO-012314-202376,2015-02-17 00:00:00,2555000,170223255
202377,WIRE TWP 20 AWG LG/DG MS7889,PO-012314-202377,2015-02-17 00:00:00,2520000,170223256
202378,WIRE TWP 20 AWG LB/YL MS7889,PO-012314-202378,2015-02-17 00:00:00,1825000,170223257
202379,WIRE TWP 20 AWG LB/DG MS7889,PO-012314-202379,2015-02-17 00:00:00,1825000,170223258
202381,WIRE TWP 20 AWG LB/ BN MS7889,PO-012314-202381,2015-02-17 00:00:00,1450000,170223259
202382,WIRE TWP 20 AWG  LB/OR MS7889,PO-012314-202382,2015-02-17 00:00:00,4690000,170223260
202383,WIRE TWP 20 AWG  LB/VT MS7889,PO-012314-202383,2015-02-17 00:00:00,1485000,170223261
202384,WIRE TWP 20 AWG LB/WH MS7889,PO-012314-202384,2015-02-17 00:00:00,4725000,170223262
202386,WIRE TWP 20 AWG OR/LB MS7889,PO-012314-202386,2015-02-17 00:00:00,3745000,170223263
202387,WIRE TWP 20 AWG WT/LB MS7889,PO-012314-202387,2015-02-17 00:00:00,3815000,170223264
203001,TERMINAL;16 AWG 40108060,PO-092713-30,2015-09-25 00:00:00,404750,157334823
203001,TERMINAL;16 AWG 40108060,PO-092713-30,2015-09-25 00:00:00,404750,157334824
203002,TERMINAL;22 AWG 40108061,PO-092713-30,2015-09-25 00:00:00,404750,157334823
203002,TERMINAL;22 AWG 40108061,PO-092713-30,2015-09-25 00:00:00,404750,157334824
203007,CONNECTOR (346027-1),POBK-013014-2030074,2015-07-01 00:00:00,72000,171104714
203008,TERMINAL-AMP 1609274,POBK-013014-203008,2015-07-01 00:00:00,2592000,171104695
203011,WIRE HP3/16 AWG BLACK,POBK-091213-70MS,2014-12-30 00:00:00,99605,155036238
203012,WIRE HP3/16 AWG YELLOW,POBK-091213-7002,2014-12-30 00:00:00,139550,155036543
203013,WIRE HP3/22 AWG BLUE,POBK-091213-7003,2014-12-30 00:00:00,320000,155036556
203015,CONNECTOR DELPHI-PACKARD12052635,POBK-091113-701DF,2014-12-09 00:00:00,3578400,154884292
204030,TERMINAL 174777-1,POBK-013014-204030,2015-07-31 00:00:00,144000,171104758
204031,TERMINAL 175411-1,POBK-013014-204031,2015-07-31 00:00:00,144000,171104750
228-88,RESISTOR (81-7226-3 U.T.),POBK-012914-228-88,2015-06-02 00:00:00,5000,170957806
23032-1011,COMMUTATOR 23032-1011,POBK-091013-03,2014-09-10 00:00:00,5,154732071
23032-1520,SLEEVE ARMATURE SHAFT 23032-1520/D,POBK-093013-03,2014-09-30 00:00:00,400,157790708
23032-1850,LEAD HARNESS 23032-1850/K,POBK-111213-02,2014-11-12 00:00:00,969,163456873
23032-1851,LEAD;HARNESS 23032-1851/K,POBK-112113-04,2014-11-21 00:00:00,500,166409474
23032-1852,LEAD;HARNESS 23032-1852/K,POBK-032614-02,2015-03-26 00:00:00,1000,176732181
23032-2040,MAIN POLE 23032-2040,POBK-050714-01,2015-05-07 00:00:00,60,181449622
23032-2041,MAIN POLE 23032-2041,POBK-051514-01,2015-08-14 00:00:00,2540,182595086
23032-2041,MAIN POLE 23032-2041,POBK-082913-04,2014-08-13 00:00:00,660,152887271
23032-2131,YOKE 23032-2131,POBK-040213-05,2015-08-19 00:00:00,652,136074060
23032-2315,SHAFT ARMATURE 23032-2315,POBK-082913-02,2015-01-21 00:00:00,50,152887242
23032-3630,YOKE 23032-3630/A,POBK-040214-05,2015-08-05 00:00:00,14,177796310
23032-3631,YOKE 23032-3631,POBK-061713-03,2015-08-19 00:00:00,194,144476078
23033-1080,COMMUTATOR 23033-1080,PO-031213-30,2014-08-15 00:00:00,15,134324859
23033-1080,COMMUTATOR 23033-1080,POBK-052314-03,2015-05-22 00:00:00,54,183425665
23046-1000,COMMUTATOR 23046-1000,POBK-020414-05,2015-06-24 00:00:00,150,171833489
23046-1005,COMMUTATOR 23046-1005,POBK-101513-03,2015-02-18 00:00:00,140,159890533
23046-1040,LAM ARMATURE 23046-1040,POBK-040914-05,2015-04-09 00:00:00,90000,178859291
23046-1041,LAM END ARMATURE 23046-1041,POBK-100713-01,2014-10-07 00:00:00,1200,158846250
23046-1050,MAIN POLE 23046-1050/,POBK-061014-01,2015-06-30 00:00:00,580,185918471
23046-1050,MAIN POLE 23046-1050/,POBK-100713-02,2015-01-23 00:00:00,60,158846329
23046-1051,MAINPOLE 23046-1051/,POBK-042114-04,2015-09-24 00:00:00,1820,179610855
23046-1051,MAINPOLE 23046-1051/,POBK-101513-02,2014-10-15 00:00:00,660,159890512
23046-1230,SLEEVE ARMATURE SHAFT 23046-1230,POBK-022814-01,2015-05-19 00:00:00,550,174741718
23046-1310,TERMINAL 23046-1310/C,POBK-080513-04,2014-08-05 00:00:00,380,149024411
23046-1320,LEAD;HARNESS 23046-1320/M,POBK-092313-05,2014-09-23 00:00:00,500,156719023
23046-1321,LEAD HARNESS 23046-1321/M,POBK-011314-05,2015-03-13 00:00:00,1500,169051165
23046-1322,LEAD HARNESS 23046-1322/M,POBK-041614-05,2015-04-16 00:00:00,1500,179343673
23046-1324,LEAD;HARNESS 23046-1324/M,POBK-032114-01,2014-07-15 00:00:00,1200,175967919
23046-1451,YOKE 23046-1451,POBK-041613-01,2015-08-19 00:00:00,172,137775459
23046-1452,YOKE 23046-1452,POBK-040213-08,2015-08-19 00:00:00,364,136074442
23046-2210,SHAFT ARMATURE 23046-2210,PO-032713-34,2014-08-29 00:00:00,56,135523542
23046-2210,SHAFT ARMATURE 23046-2210,POBK-052614-03,2015-09-18 00:00:00,290,183758295
23046-2212,SHAFT ARMATURE 23046-2212,PO-050113-35,2014-09-19 00:00:00,110,139221230
23046-2212,SHAFT ARMATURE 23046-2212,POBK-052614-02,2015-09-21 00:00:00,420,183758293
23047-1247,INTERPOLE INSULATOR 23047-1247/N,POBK-112113-02,2014-11-21 00:00:00,100,164301035
23047-1248,INSULATOR INTERPOLE 23047-1248/N,POBK-052614-05,2015-05-26 00:00:00,2000,183758553
23048-1021,INSULATOR INTERPOLE (23048-1021)/B,POBK-111213-03,2014-11-21 00:00:00,2000,163456950
23065-1041,MAIN POLE 23065-1041/R,POBK-042814-03,2015-06-19 00:00:00,320,180443828
23065-1092,BAND CE 23065-1092,POBK-071913-01,2015-08-17 00:00:00,160,147649076
23065-1093,BAND DE 23065-1093,POBK-071913-03,2015-08-17 00:00:00,200,147649105
23065-1170,RING 23065-1170,POBK-040914-06,2015-04-09 00:00:00,20,178859726
23065-1182,SHAFT 23065-1182,POBK-031914-07,2015-03-19 00:00:00,34,175510697
23065-1300,COMMUTATOR 23065-1300,POBK-032114-02,2015-07-21 00:00:00,200,175967921
23065-1300,COMMUTATOR 23065-1300,POBK-090513-02,2014-09-05 00:00:00,20,153965842
23065-1441,HOUSING 23065-1441,POBK-080613-01,2015-08-20 00:00:00,81,149183797
23065-1445,HOUSING 23065-1445/K,POBK-080613-02,2015-08-19 00:00:00,39,149183812
23065-1722,SHAFT ARMATURE 23065-1722,POBK-012213-08,2014-10-13 00:00:00,30,130865609
23069-1101,TERMINAL 23069-1101/G,POBK-100713-03,2014-10-07 00:00:00,300,158846340
23069-1132,YOKE 23069-1132,POBK-011813-02,2015-08-17 00:00:00,118,130750096
23069-1551,MAIN POLE 23069-1551/T,POBK-022814-02,2015-08-21 00:00:00,800,174741722
23072-1000,COMMUTATOR 23072-1000,POBK-060514-01,2015-10-13 00:00:00,920,185243358
23072-1000,COMMUTATOR 23072-1000,POBK-091013-01,2014-09-15 00:00:00,110,154731273
23073-1014,MAINPOLE 23073-1014/AA,POBK-021014-03,2015-06-24 00:00:00,2789,172563598
23073-1015,MAIN POLE 23073-1015/AA,POBK-050714-02,2015-08-26 00:00:00,320,181449624
23073-1015,MAIN POLE 23073-1015/AA,POBK-091213-03,2014-08-25 00:00:00,28,155036565
23077-1160,HOUSING 23077-1160/C,POBK-040213-09,2015-08-21 00:00:00,97,136074508
23077-1290,LEAD MAIN 23077-1290,POBK-121913-02,2014-12-19 00:00:00,25,166557821
23078-1001,COMMUTATOR 23078-1001,POBK-100213-01,2015-02-23 00:00:00,125,158095454
23078-1231,LEAD MAIN 23078-1231,POBK-032614-03,2015-03-26 00:00:00,79,176732200
23078-1300,SHAFT ARMATURE 23078-1300,POBK-090313-03,2015-04-22 00:00:00,35,153657550
23078-1817,SHAFT 23078-1817,POBK-011314-06,2015-05-20 00:00:00,180,169051175
23079-1250,TERMINAL 23079-1250/D,POBK-053014-01,2015-05-29 00:00:00,1400,184410649
23079-1360,LAM ARMATURE 23079-1360,POBK-040414-01,2015-08-21 00:00:00,13000,178096694
23079-1362,LAM END ARMATURE 23079-1362,POBK-032014-04,2015-05-12 00:00:00,300,175815187
23080-1040,HOUSING 23080-1040,POBK-011813-04,2015-08-19 00:00:00,88,130750197
23080-1043,HOUSING 23080-1043,POBK-012714-01,2015-10-16 00:00:00,13,170664251
23080-1150,HOUSING 23080-1150/K,POBK-080713-01,2015-08-19 00:00:00,72,149339885
23080-1230,HOUSING; ELECTRICAL 23080-1230,POBK-011813-06,2015-08-21 00:00:00,164,130750223
23080-1231,HOUSING 23080-1231/L,POBK-041613-02,2015-08-21 00:00:00,82,137775547
23080-1322,HOUSING;ELECTRICAL ROTATING,POBK-041613-03,2015-08-19 00:00:00,139,137775553
23080-1440,HOUSING 23080-1440/N,POBK-022813-03,2015-08-19 00:00:00,48,133459377
23080-1670,HSG;DC 23080-1670/J,POBK-070213-01,2015-08-19 00:00:00,89,145731288
23080-3020,LAM ARMATURE 23080-3020,POBK-011514-01,2015-03-13 00:00:00,49700,169345475
23080-3021,LAM END ARMATURE 23080-3021,POBK-011514-02,2015-03-27 00:00:00,2115,169345478
23080-3022,LAM END ARMATURE 23080-3022,POBK-081313-07,2014-08-13 00:00:00,300,150519266
23080-3040,SHAFT ARMATURE 23080-3040,POBK-030514-01,2015-06-25 00:00:00,656,175038311
23080-3042,SHAFT ARMATURE 23080-3042,POBK-030113-05,2014-08-19 00:00:00,33,133564347
23080-3043,SHAFT ARMATURE 23080-3043,POBK-040414-02,2015-07-07 00:00:00,60,178096908
23080-3150,RING RETAINING 23080-3150,POBK-061314-02,2015-06-16 00:00:00,1500,186423885
23081-1000,LAM ARMATURE 23081-1000,POBK-022814-03,2015-06-12 00:00:00,109800,174741868
23081-1001,LAM END ARMATURE 23081-1001,POBK-120313-06,2014-12-03 00:00:00,900,165211548
23081-1005,COMMUTATOR 23081-1005/M,POBK-051514-03,2015-09-15 00:00:00,1066,182595264
23081-1005,COMMUTATOR 23081-1005/M,POBK-080913-01,2014-09-15 00:00:00,250,149743917
23081-1112,SHAFT ARMATURE 23081-1112,POBK-111213-04,2015-03-04 00:00:00,300,163456966
23081-1113,SHAFT  23081-1113,POBK-121713-01,2014-12-17 00:00:00,225,166254327
23081-1270,YOKE 23081-1270/J,PO-091613-08,2015-02-23 00:00:00,13,155643525
23081-1760,LEAD 23081-1760/B,POBK-041614-06,2015-04-16 00:00:00,100,179343674
23085-1000,LAM ARMATURE 23085-1000,POBK-060514-02,2015-09-24 00:00:00,90000,185243366
23085-1000,LAM ARMATURE 23085-1000,POBK-101513-04,2014-12-30 00:00:00,27750,159890542
23085-1001,LAM END ARMATURE 23085-1001,POBK-121713-03,2014-12-17 00:00:00,2000,166254413
23085-1002,LAM ARMATURE 23085-1002,POBK-091013-02,2014-09-10 00:00:00,4000,154731303
23085-1007,COMMUTATOR 23085-1007,POBK-051514-02,2015-09-15 00:00:00,792,182595160
23085-1007,COMMUTATOR 23085-1007,POBK-100113-03,2015-01-22 00:00:00,200,157943858
23085-1091,YOKE 23085-1091,POBK-021213-04,2015-08-19 00:00:00,459,132631476
23085-1093,YOKE 23085-1093,POBK-101912-01,2015-08-21 00:00:00,75,122878123
23085-1171,MAINPOLE 23085-1171/R,POBK-022814-04,2014-10-24 00:00:00,144,174741964
23085-1515,HOUSING 23085-1515,POBK-051314-05,2015-09-15 00:00:00,60,182265438
23085-1515,HOUSING 23085-1515,POBK-060713-05,2014-09-22 00:00:00,18,143324976
23085-1516,YOKE 23085-1516,POBK-050713-04,2015-08-21 00:00:00,14,139825235
23085-1982,MAIN POLE 23085-1982/00,POBK-050714-03,2015-08-21 00:00:00,2180,181449678
23085-1982,MAIN POLE 23085-1982/00,POBK-082913-05,2014-08-22 00:00:00,411,152887328
23088-1040,HOUSING 23088-1040,POBK-041613-05,2015-08-19 00:00:00,32,137775578
23088-1101,TERMINAL; STRAP  23088-1101/E,POBK-052614-23088-1101,2015-05-26 00:00:00,200,183758378
23091-1140,HOUSING 23091-1140/K,POBK-101812-02,2015-08-17 00:00:00,144,122780248
23091-1310,LEAD MAIN 23091-1310,POBK-061614-01,2015-06-16 00:00:00,132,186591374
25-1951-3,LENS,POBK-041614-01,2014-11-17 00:00:00,2232,179343339
28-531600,WIRE LEAD15-000038 #16 BL 28-531600,POBK-081913-04,2014-10-24 00:00:00,500,151307144
28-531655,WIRE LEAD28-531655#16BRW[15-000038],POBK-112613-02,2014-12-10 00:00:00,100,164737891
28-532255,WIRE;LEAD 15-000038#22BRN 28-532255,POBK-081913-05,2014-08-19 00:00:00,100,151307147
28-550899,WIRE;LD 15-000046 #08 GRY 28-550899,POBK-021314-03,2015-06-05 00:00:00,950,173000030
28-551699,WIRE LEAD28-551699[15-000046]GR16/B,POBK-121713-04,2014-12-15 00:00:00,2000,166254421
28-551899,LEAD WIRE (15-000046) 28-551899/B,POBK-052714-02,2015-05-27 00:00:00,2300,183924281
28-551899,LEAD WIRE (15-000046) 28-551899/B,POBK-060713-09,2014-07-21 00:00:00,100,143325044
28-552299,WIRE;LEAD;15-000046#22 GR 28-552299,POBK-081313-08,2014-09-16 00:00:00,450,150519280
28-712099,LEAD WIRE 28-712099 MIL W-22759/11,POBK-042914-01,2015-04-29 00:00:00,700,180604134
29-281350,MAGN WIRE 15-038272 HAVY 29-281350,POBK-112613-03,2014-11-26 00:00:00,322,164737901
